crop,season,soil_type,soil_pH,soil_nitrogen_kg_ha,soil_phosphorus_kg_ha,soil_potassium_kg_ha,soil_organic_matter_percent,annual_rainfall_mm,temperature_avg_C,temperature_min_C,temperature_max_C,humidity_percent,sunshine_hours_per_day,irrigation_type,irrigation_frequency_days,fertilizer_N_applied,fertilizer_P_applied,fertilizer_K_applied,pesticide_usage_kg_ha,area_under_cultivation_ha,farm_mechanization,crop_variety,plant_age_years,previous_year_yield,elevation_m,slope_percent,district_zone,yield_kg_ha
rice,Kharif,Clay Loam,5.64,169.99,48.47,121.15,1.67,3510.5,27.08,19.23,30.76,81.49,4.65,Sprinkler,3,81.61,48.87,98.58,0.71,3.7,0,0,0.0,4071.4,940.5,11.28,Malnad,3473.71
rice,Kharif,Laterite,6.02,248.91,33.58,170.61,1.74,4115.4,30.31,26.02,33.64,84.73,7.25,Canal,3,69.31,64.47,103.19,3.87,1.83,1,0,0.0,4077.8,155.5,5.75,Midland,3789.63
rice,Kharif,Laterite,5.28,304.15,31.96,162.93,2.05,3361.7,29.48,21.76,33.29,89.29,5.04,Canal,5,186.91,57.45,52.86,4.26,6.46,0,0,0.0,3695.5,754.3,21.7,Malnad,3795.77
rice,Kharif,Clay Loam,4.8,177.93,22.42,243.67,0.89,3683.9,29.62,24.68,33.78,87.17,3.94,Canal,6,77.85,43.84,127.7,1.1,2.68,1,1,0.0,3708.1,609.1,24.29,Malnad,3686.65
rice,Kharif,Laterite,5.67,200.21,33.1,288.4,1.21,3703.5,27.06,21.09,30.17,88.55,7.23,Canal,5,157.53,75.35,117.8,1.11,5.97,1,1,0.0,4228.8,699.6,32.7,Malnad,3987.88
rice,Kharif,Red Loam,6.47,309.72,16.23,282.59,3.15,3622.6,27.91,20.36,31.19,74.05,6.71,Rainfed,0,60.65,40.01,83.8,2.65,9.24,0,0,0.0,3275.5,700.6,15.83,Malnad,3535.33
rice,Kharif,Laterite,5.34,328.71,28.12,207.73,2.51,3015.7,28.64,19.18,35.83,69.01,5.16,Sprinkler,2,199.56,50.13,105.49,0.77,7.62,0,1,0.0,3019.7,194.9,6.67,Midland,3772.34
rice,Kharif,Red Loam,4.63,293.88,32.66,195.37,1.99,3480.9,27.6,18.87,31.58,88.27,7.28,Sprinkler,3,97.9,58.64,84.96,0.6,1.98,1,1,0.0,3284.3,25.7,7.77,Coastal,3819.22
rice,Kharif,Laterite,4.98,124.86,22.16,238.9,3.11,3996.3,25.97,20.65,30.41,72.91,7.09,Canal,3,71.97,32.47,42.92,1.23,6.04,1,1,0.0,3322.8,776.6,11.96,Malnad,3706.82
rice,Kharif,Laterite,5.04,256.04,30.47,201.45,1.98,3353.4,31.48,25.24,34.7,88.45,5.45,Sprinkler,5,171.98,45.51,42.47,1.57,5.65,1,0,0.0,4308.8,132.4,29.22,Midland,3621.01
rice,Kharif,Laterite,6.33,129.44,38.83,140.29,2.3,3781.7,30.3,19.71,33.33,68.7,7.1,Rainfed,0,182.34,55.84,106.06,3.16,2.17,1,1,0.0,3033.9,364.0,18.16,Midland,3762.5
rice,Kharif,Laterite,4.67,250.79,22.27,165.65,1.58,3426.8,29.19,20.14,34.35,77.85,6.15,Canal,7,162.56,32.9,43.43,1.55,6.15,0,1,0.0,4018.4,567.0,11.7,Malnad,3664.71
rice,Kharif,Red Loam,4.99,304.78,49.97,232.83,1.53,3708.3,25.61,18.33,35.39,68.69,7.3,Drip,1,85.92,52.51,136.02,3.43,8.16,1,1,0.0,3635.6,806.7,8.74,Malnad,3937.8
rice,Kharif,Laterite,6.39,109.86,45.28,283.55,1.29,3681.5,31.15,18.31,35.44,73.03,7.2,Canal,7,192.2,48.45,134.82,3.88,3.53,1,0,0.0,3134.0,566.5,8.05,Malnad,3800.08
rice,Kharif,Laterite,4.63,178.82,36.97,253.96,1.66,3751.1,30.86,23.46,34.36,65.66,6.98,Canal,3,182.46,51.74,143.3,3.7,9.98,0,1,0.0,3823.4,381.8,16.8,Midland,3808.04
rice,Kharif,Clay Loam,6.04,204.44,31.07,242.27,1.44,3132.6,25.55,19.02,30.75,71.31,3.67,Canal,3,198.28,45.67,82.28,3.22,2.57,1,1,0.0,4165.6,84.9,14.62,Coastal,3667.77
rice,Kharif,Red Loam,6.48,157.92,57.14,222.92,2.44,3615.2,24.31,18.41,29.76,70.03,6.62,Drip,1,68.1,78.15,137.22,4.21,9.95,0,1,0.0,3179.3,720.3,24.36,Malnad,3684.91
rice,Kharif,Clay Loam,4.95,234.24,39.65,207.62,1.05,4053.0,24.66,18.34,35.11,90.8,6.95,Drip,3,151.73,53.05,49.57,2.13,4.04,0,1,0.0,3269.4,471.1,2.84,Malnad,3867.82
rice,Kharif,Clay Loam,5.46,248.1,51.23,156.52,2.63,3678.9,24.67,20.35,34.38,82.78,6.9,Sprinkler,5,159.17,70.22,116.72,3.22,6.38,1,0,0.0,3009.8,836.8,30.51,Malnad,3922.3
rice,Kharif,Clay Loam,5.17,285.88,18.04,259.95,3.05,3609.0,22.06,18.29,32.94,91.49,6.03,Rainfed,0,96.37,58.04,99.4,3.62,1.52,1,1,0.0,3830.4,914.8,11.97,Malnad,3818.07
rice,Kharif,Laterite,5.92,116.84,39.11,156.09,2.48,3054.9,30.72,26.48,35.93,85.24,4.02,Drip,2,63.44,21.33,75.6,2.45,7.82,1,1,0.0,3549.6,259.9,34.9,Midland,3381.43
rice,Kharif,Red Loam,6.09,273.42,21.04,98.12,2.64,3785.4,24.73,20.6,29.21,76.67,7.27,Drip,1,149.39,43.86,70.16,4.44,4.39,1,0,0.0,3856.3,202.4,1.09,Midland,3705.42
rice,Kharif,Red Loam,4.87,317.16,48.83,249.6,3.08,3913.2,28.26,18.82,31.42,89.86,5.97,Canal,6,127.41,27.04,53.77,3.24,4.59,0,1,0.0,3335.8,61.0,20.37,Coastal,3971.78
rice,Kharif,Clay Loam,5.41,102.91,13.62,166.35,2.1,3720.0,24.92,20.03,34.88,86.06,3.66,Drip,1,74.69,34.52,148.53,1.07,5.24,1,1,0.0,3414.0,531.7,0.34,Malnad,3574.72
rice,Kharif,Laterite,4.66,199.23,16.64,204.86,2.66,3960.7,24.0,18.34,28.84,82.18,6.33,Rainfed,0,64.42,76.17,45.72,2.67,7.24,1,1,0.0,4078.2,761.6,11.88,Malnad,3694.83
rice,Kharif,Laterite,5.6,304.32,32.62,221.59,2.22,3877.9,22.82,18.06,29.98,69.31,6.99,Canal,4,196.62,40.21,60.03,3.66,6.76,1,1,0.0,4325.0,683.2,8.0,Malnad,3996.07
rice,Kharif,Laterite,4.64,107.66,22.88,181.78,3.14,3872.6,29.43,21.16,33.66,75.02,7.45,Canal,3,181.38,54.72,88.25,3.4,5.12,1,1,0.0,3775.6,400.6,9.69,Malnad,3833.43
rice,Kharif,Clay Loam,5.75,257.89,46.66,108.94,2.73,4090.8,23.8,18.43,35.77,69.89,6.92,Drip,1,94.61,72.24,88.98,2.56,3.91,1,0,0.0,3321.1,371.5,33.93,Midland,3731.79
rice,Kharif,Clay Loam,6.44,213.45,21.8,96.17,1.26,3623.7,25.37,20.79,31.66,71.72,5.97,Rainfed,0,158.95,30.02,58.44,0.65,7.5,1,1,0.0,3766.1,802.0,28.2,Malnad,3635.63
rice,Kharif,Clay Loam,4.72,167.44,12.85,196.86,3.33,3047.2,23.22,18.55,35.47,73.54,5.53,Drip,1,80.77,79.2,146.16,0.52,9.54,1,1,0.0,3634.8,432.0,18.05,Malnad,3496.04
rice,Kharif,Laterite,5.91,150.46,43.67,293.38,1.05,3807.1,26.44,21.85,30.6,83.7,6.85,Drip,3,155.65,49.83,107.96,3.98,5.92,0,1,0.0,3263.3,655.1,23.68,Malnad,3878.8
rice,Kharif,Red Loam,5.8,126.65,42.89,299.87,0.93,4172.6,26.07,21.54,34.49,80.31,6.45,Drip,3,116.58,39.62,113.44,3.73,7.74,1,1,0.0,3710.5,776.9,4.21,Malnad,3866.64
rice,Kharif,Red Loam,5.4,159.39,28.66,130.0,1.0,3724.1,28.68,22.14,33.68,75.25,6.95,Drip,2,127.09,21.54,77.54,2.02,4.29,1,1,0.0,4075.7,577.5,26.77,Malnad,3587.39
rice,Kharif,Clay Loam,4.54,148.94,10.38,222.44,3.22,3292.2,31.27,18.56,35.89,74.49,3.91,Canal,5,95.95,37.09,73.8,3.71,5.62,0,1,0.0,3532.4,680.3,9.54,Malnad,3429.13
rice,Kharif,Red Loam,5.55,277.26,15.34,204.81,1.49,4155.5,26.84,21.9,33.23,66.17,6.03,Drip,3,144.23,69.15,137.26,1.41,2.51,1,1,0.0,3450.7,797.9,31.5,Malnad,4042.9
rice,Kharif,Laterite,5.05,305.65,31.19,226.86,1.06,3748.6,26.52,20.65,30.61,84.9,6.95,Canal,4,73.4,21.42,110.62,2.93,5.69,0,1,0.0,4313.4,564.8,17.39,Malnad,3788.58
rice,Kharif,Red Loam,5.94,273.11,59.56,108.25,1.08,3869.2,27.78,19.59,31.2,67.31,7.08,Drip,1,105.27,33.6,79.05,0.78,5.43,0,1,0.0,4166.9,222.0,18.9,Midland,3712.79
rice,Kharif,Red Loam,5.15,183.25,43.47,298.71,2.59,3669.3,29.31,21.4,32.53,80.18,7.33,Sprinkler,2,156.6,32.06,98.94,0.89,4.78,1,0,0.0,4231.0,631.7,27.84,Malnad,3802.39
rice,Kharif,Laterite,6.35,234.99,52.1,194.61,2.48,3106.9,29.55,18.96,35.4,86.11,6.33,Canal,3,102.44,35.79,79.62,0.85,9.4,1,0,0.0,3786.8,377.1,15.65,Midland,3484.59
rice,Kharif,Red Loam,5.49,348.04,52.57,125.87,3.31,3139.6,30.17,21.11,35.66,88.44,6.72,Canal,6,102.66,24.86,84.33,1.19,7.1,0,1,0.0,3150.2,608.9,28.79,Malnad,3871.06
rice,Kharif,Clay Loam,5.51,199.67,17.32,160.86,0.98,3031.0,23.35,19.3,32.4,91.08,5.23,Drip,1,130.86,46.37,51.62,3.06,2.55,1,1,0.0,4031.8,144.4,2.15,Midland,3466.37
rice,Kharif,Red Loam,6.49,114.45,44.75,296.41,1.45,3170.7,23.21,18.37,28.81,83.69,3.75,Rainfed,0,131.32,79.8,129.54,2.96,3.41,1,1,0.0,4175.8,404.8,4.57,Malnad,3548.54
rice,Kharif,Laterite,6.16,283.4,48.47,82.43,1.92,3577.6,22.19,18.26,34.08,68.7,5.64,Drip,1,61.7,34.47,147.35,3.71,9.62,1,0,0.0,4118.3,520.6,15.9,Malnad,3493.95
rice,Kharif,Laterite,4.8,181.17,46.87,184.72,1.81,3473.4,26.59,21.61,35.31,90.79,6.65,Sprinkler,3,156.34,46.26,68.01,3.86,0.87,1,1,0.0,4187.4,605.3,23.08,Malnad,3818.74
rice,Kharif,Laterite,4.8,284.36,35.61,229.65,0.91,3101.8,29.16,18.52,32.44,65.33,7.33,Sprinkler,4,109.46,37.79,78.47,3.6,6.78,0,0,0.0,4009.5,93.5,23.11,Coastal,3512.66
rice,Kharif,Laterite,4.66,341.97,24.77,249.23,2.49,3458.3,24.06,18.25,32.92,85.92,6.08,Rainfed,0,134.24,22.52,146.53,3.69,3.28,1,1,0.0,4074.0,553.3,26.18,Malnad,3787.31
rice,Kharif,Laterite,4.95,193.04,31.6,176.67,2.45,4131.7,24.41,18.29,29.58,88.95,6.08,Canal,4,174.23,71.68,133.12,4.18,2.9,1,1,0.0,4026.0,799.9,25.5,Malnad,4066.85
rice,Kharif,Red Loam,5.59,346.17,56.87,89.5,1.25,3158.1,29.26,23.94,33.06,78.66,6.86,Drip,2,135.91,55.42,95.92,1.69,5.87,1,1,0.0,3187.7,604.5,26.64,Malnad,3762.03
rice,Kharif,Laterite,6.48,124.79,30.07,256.02,1.35,3666.1,29.33,22.52,33.02,74.6,6.64,Canal,5,60.73,65.66,43.88,3.48,2.42,1,1,0.0,3385.6,310.6,5.21,Midland,3590.02
rice,Kharif,Clay Loam,5.24,212.15,46.1,274.96,2.4,3469.8,26.13,20.87,29.15,81.73,4.92,Canal,6,73.02,55.29,92.91,3.07,1.12,1,1,0.0,3890.0,532.6,21.12,Malnad,3771.55
rice,Kharif,Clay Loam,4.65,114.64,26.71,252.68,2.71,3946.3,27.17,20.28,31.03,73.86,5.24,Sprinkler,2,90.89,55.89,120.92,4.49,9.36,1,1,0.0,3130.9,604.4,27.5,Malnad,3792.58
rice,Kharif,Red Loam,5.27,242.97,39.39,120.58,1.78,3401.4,22.26,18.02,34.65,72.37,5.57,Canal,4,191.7,35.56,87.26,3.99,8.5,0,1,0.0,3151.5,435.3,16.9,Malnad,3687.9
rice,Kharif,Red Loam,5.96,291.38,17.95,214.25,1.17,3901.7,28.57,24.28,31.88,66.54,4.63,Drip,1,94.58,74.38,67.45,1.59,7.71,1,1,0.0,3015.7,62.1,17.06,Coastal,3769.67
rice,Kharif,Laterite,4.78,233.11,30.55,156.42,3.23,3026.2,28.64,24.39,34.08,90.29,3.71,Canal,4,96.42,63.85,147.94,1.53,6.71,0,1,0.0,3797.6,440.7,34.02,Malnad,3588.67
rice,Kharif,Laterite,5.0,312.65,38.06,195.15,1.11,4032.2,29.23,18.49,34.9,79.68,3.83,Drip,1,127.86,29.95,144.03,3.9,6.86,1,1,0.0,3054.7,618.4,19.09,Malnad,3904.56
rice,Kharif,Red Loam,5.42,112.99,49.31,124.3,1.5,3197.6,25.3,20.5,32.3,70.53,7.01,Canal,6,181.88,34.33,89.64,4.44,7.83,0,0,0.0,3702.6,440.7,31.82,Malnad,3447.33
rice,Kharif,Red Loam,5.26,293.9,58.22,124.83,2.21,3344.6,29.93,22.58,34.88,86.54,5.08,Canal,7,134.62,29.48,116.55,3.67,3.51,1,1,0.0,3161.4,263.1,34.42,Midland,3842.29
rice,Kharif,Laterite,6.29,263.57,17.61,176.87,2.46,3100.2,30.82,25.09,34.92,91.11,5.17,Drip,3,153.51,58.08,58.26,4.03,4.56,0,0,0.0,3948.3,531.8,18.46,Malnad,3446.98
rice,Kharif,Clay Loam,5.58,277.56,25.72,183.66,3.02,3551.1,25.58,19.77,34.73,74.05,4.2,Canal,6,175.64,26.04,66.39,1.07,3.81,1,1,0.0,3449.2,618.6,21.73,Malnad,3899.92
rice,Kharif,Clay Loam,6.46,258.54,16.31,228.76,1.68,3823.6,22.7,18.17,34.85,71.13,6.85,Sprinkler,2,150.0,61.65,96.39,1.72,2.52,0,0,0.0,4154.8,620.5,32.84,Malnad,3704.77
rice,Kharif,Red Loam,6.31,267.68,38.02,104.42,2.01,3552.4,30.65,22.73,34.54,91.37,3.94,Drip,1,65.88,64.39,140.99,1.62,8.65,0,1,0.0,2994.5,716.3,28.17,Malnad,3664.81
rice,Kharif,Sandy Loam,5.11,307.35,24.08,272.01,1.1,3844.4,27.41,18.52,31.76,65.33,5.38,Canal,4,143.77,37.83,72.99,3.47,0.96,1,1,0.0,4183.5,634.4,20.76,Malnad,3926.61
rice,Kharif,Laterite,6.49,313.92,36.07,94.0,3.04,3718.8,23.15,18.11,35.28,83.07,6.82,Sprinkler,5,140.05,51.05,87.35,1.77,4.63,1,1,0.0,3795.6,847.9,15.52,Malnad,3845.14
rice,Kharif,Red Loam,5.91,159.36,35.62,102.93,1.84,3585.2,28.52,24.2,34.21,85.08,5.53,Sprinkler,4,69.93,35.26,79.8,2.39,0.93,0,0,0.0,3625.6,923.0,11.6,Malnad,3454.98
rice,Kharif,Laterite,5.53,101.38,10.38,128.2,0.9,3129.6,25.39,20.72,32.74,78.84,4.67,Drip,3,115.58,25.23,107.88,0.96,3.78,1,1,0.0,4320.2,468.9,24.58,Malnad,3360.28
rice,Kharif,Laterite,5.29,205.46,30.55,279.67,2.73,3729.5,25.09,20.55,35.64,87.17,3.51,Drip,2,67.16,35.46,46.55,2.92,7.02,0,1,0.0,3134.6,433.4,12.92,Malnad,3723.15
rice,Kharif,Laterite,5.21,335.43,43.43,229.31,1.78,3712.4,22.1,18.64,35.31,81.54,6.99,Rainfed,0,161.36,27.23,139.27,0.77,5.57,0,0,0.0,3631.0,400.9,10.33,Malnad,3801.97
rice,Kharif,Red Loam,4.75,239.66,27.16,240.42,2.56,4014.7,28.92,20.98,34.67,72.44,4.73,Rainfed,0,170.46,46.79,127.82,3.79,8.65,1,1,0.0,3474.8,302.9,20.38,Midland,4010.89
rice,Kharif,Red Loam,4.83,207.63,17.13,275.82,1.73,3185.4,22.25,18.65,33.1,74.2,3.79,Drip,1,103.57,60.63,106.64,1.96,2.57,1,1,0.0,3630.4,653.9,4.92,Malnad,3580.56
rice,Kharif,Laterite,6.43,196.05,11.95,86.81,1.85,3192.0,22.23,18.76,31.67,72.81,7.1,Sprinkler,2,193.83,38.84,137.72,2.91,8.35,1,0,0.0,3494.3,913.1,13.63,Malnad,3490.78
rice,Kharif,Laterite,5.58,290.48,51.68,176.9,1.62,3311.2,23.95,18.11,30.74,72.3,7.37,Sprinkler,3,108.62,54.83,55.31,2.28,6.45,1,1,0.0,3817.8,944.2,30.81,Malnad,3640.53
rice,Kharif,Red Loam,4.9,198.78,11.97,184.62,2.27,3273.3,31.64,26.77,35.62,79.4,6.98,Canal,3,170.67,27.49,127.36,1.6,8.83,1,0,0.0,3627.4,439.5,34.33,Malnad,3590.97
rice,Kharif,Laterite,4.91,290.45,29.33,192.48,2.13,3692.7,30.66,26.49,34.61,87.34,6.56,Drip,2,193.85,32.03,52.02,3.92,4.67,1,1,0.0,3579.7,59.3,30.92,Coastal,3919.62
rice,Kharif,Red Loam,6.35,104.78,33.84,231.3,2.75,3831.0,23.34,18.4,30.87,86.72,4.62,Canal,4,194.04,20.53,149.76,3.21,8.37,0,0,0.0,3977.0,701.0,29.2,Malnad,3731.32
rice,Kharif,Clay Loam,6.03,311.48,40.68,99.49,2.12,3093.2,26.08,19.66,29.53,74.42,3.94,Canal,6,192.68,24.34,145.06,2.59,3.35,0,1,0.0,3038.3,754.8,24.75,Malnad,3700.96
rice,Kharif,Laterite,5.09,158.1,24.05,256.77,3.31,3486.1,31.06,20.91,34.98,71.1,6.06,Drip,3,144.49,41.47,111.26,0.99,8.94,1,1,0.0,3067.6,556.6,21.87,Malnad,3722.31
rice,Kharif,Clay Loam,6.11,238.13,36.01,111.43,2.89,3325.7,26.97,19.41,30.77,82.0,3.72,Canal,6,104.46,20.01,96.22,0.69,3.12,1,0,0.0,3305.7,797.4,0.13,Malnad,3593.13
rice,Kharif,Clay Loam,4.7,190.06,23.52,265.4,1.65,3946.7,30.92,21.87,35.81,75.19,7.36,Drip,1,156.18,49.63,82.64,3.03,7.19,0,0,0.0,4283.8,677.4,23.32,Malnad,3642.3
rice,Kharif,Laterite,5.79,112.05,28.0,290.5,2.15,3519.3,26.58,18.96,31.95,74.98,3.71,Canal,6,118.31,69.33,133.54,1.35,6.74,1,1,0.0,3796.5,205.0,23.72,Midland,3848.86
rice,Kharif,Laterite,5.8,284.65,25.78,221.86,1.87,3855.8,23.99,19.77,30.3,74.93,3.73,Rainfed,0,75.61,50.95,69.44,3.84,0.64,0,0,0.0,3532.6,18.4,4.35,Coastal,3453.3
rice,Kharif,Red Loam,4.52,216.02,58.17,194.19,2.63,3374.2,29.74,23.98,34.44,91.35,4.0,Sprinkler,2,167.82,68.43,53.22,1.56,0.67,0,1,0.0,3475.6,492.1,12.18,Malnad,3736.06
rice,Kharif,Laterite,5.79,343.55,52.35,85.19,3.23,3939.8,29.8,21.57,34.08,73.18,3.76,Drip,1,94.52,49.04,122.22,2.4,1.05,1,1,0.0,3710.5,745.9,34.7,Malnad,3853.21
rice,Kharif,Laterite,5.74,295.33,38.91,112.33,2.99,3763.1,25.88,20.62,30.73,74.32,7.17,Rainfed,0,100.67,48.2,137.92,3.33,1.09,0,0,0.0,3152.6,599.4,15.67,Malnad,3678.89
rice,Kharif,Sandy Loam,4.98,225.15,43.98,96.77,1.54,3968.4,26.6,20.51,32.37,66.19,4.16,Sprinkler,3,89.29,23.0,132.8,4.42,8.03,1,0,0.0,4263.9,912.6,6.89,Malnad,3614.23
rice,Kharif,Laterite,5.69,118.27,41.12,295.86,1.31,3951.1,31.08,26.57,35.92,79.08,7.41,Drip,2,82.63,48.61,119.02,1.49,6.59,1,0,0.0,3648.5,536.8,27.01,Malnad,3739.81
rice,Kharif,Laterite,5.21,331.55,21.43,219.56,1.4,3386.0,30.48,24.18,33.72,76.57,3.62,Rainfed,0,127.32,59.75,53.04,1.66,4.28,1,1,0.0,3475.5,42.7,26.64,Coastal,3756.09
rice,Kharif,Clay Loam,5.65,189.28,49.38,135.22,2.32,3430.3,28.57,19.58,32.42,89.79,3.91,Canal,5,90.92,22.34,43.96,1.2,8.73,0,1,0.0,3758.9,552.5,15.28,Malnad,3565.22
rice,Kharif,Red Loam,5.06,188.26,54.7,288.22,3.21,3503.3,29.8,21.72,34.39,70.53,5.86,Canal,3,106.42,71.3,62.78,0.78,1.16,1,1,0.0,4106.7,388.9,28.38,Midland,3880.87
